"ID","yr","ewe_age","age_class","prim","birthdate","median_bdate","birthdate_tp1","greenup_date","mass_fall_tm1","mass_fall","mass_spring","mass_gain","greenup_mismatch","mismatch_tp1","wean_mass","code_sr","repro_tp1","wean_tp1","frs","pred","first_pregnant"
305,2018,11,"adult","FALSE",150,152,"146",131,69.608,65.156,52.615,"12.5413499425997",19,"2",26.356,"2","yes","no","notWeaned","0","0"
305,2019,12,"senescent","FALSE",146,155,NA,144,65.156,66.569,46.903,"19.6655961401655",2,NA,NA,"2",NA,NA,NA,"0","0"
306,2008,2,"adult",NA,NA,148,NA,160,NA,61.847,41.525,"20.3220791071661",NA,NA,NA,"0","no",NA,"noLamb","0","0"
306,2009,3,"adult",NA,NA,140.5,NA,146,61.847,69.572,53.272,"16.3000786123143",NA,NA,NA,"0","yes","yes","weaned","0","0"
306,2010,4,"prim","TRUE",147,144,NA,150,69.572,60.792,44.255,"16.5363792993942",-3,NA,25.772,"5","yes","no","neoDeath","0","0"
306,2011,5,"adult","FALSE",NA,148,NA,151,60.792,75.907,54.476,"21.4304724074099",NA,NA,NA,"1","yes","yes","weaned","0","0"
306,2012,6,"adult","FALSE",146,150,"151",146,75.907,70.933,56.159,"14.7738449459342",0,"5",28.809,"5","yes","yes","weaned","0","0"
306,2013,7,"adult","FALSE",151,156,NA,146,70.933,70.206,57.602,"12.6047695753297",5,NA,25.176,"5","yes","no","neoDeath","1","0"
306,2014,8,"adult","FALSE",NA,155.5,NA,152,70.206,75.41,54.96,"20.4501362736092",NA,NA,NA,"1","yes","yes","weaned","0","0"
306,2015,9,"adult","FALSE",147,147.5,"144",137,75.41,80.357,63.609,"16.7483697279292",10,"21",27.841,"5","yes","yes","weaned","0","0"
306,2016,10,"adult","FALSE",144,149,"142",123,80.357,77.167,67.219,"9.94793340013649",21,"1",31.272,"5","yes","yes","weaned","0","0"
306,2017,11,"adult","FALSE",142,145.5,"150",141,77.167,79.946,61.41,"18.5359587175577",1,"19",34.476,"5","yes","yes","weaned","0","0"
306,2018,12,"senescent","FALSE",150,152,NA,131,79.946,80.979,63.793,"17.1866703789988",19,NA,29.711,"3","yes","no","neoDeath","0","0"
306,2019,13,"senescent","FALSE",NA,155,NA,144,80.979,79.981,66.079,"13.9018074067531",NA,NA,NA,"1","yes","no","neoDeath","0","1"
306,2020,14,"senescent","FALSE",NA,173.5,NA,139,79.981,78.143,52.37,"25.7730690766826",NA,NA,NA,"1","yes","no","neoDeath","0","1"
307,2008,2,"adult",NA,NA,148,NA,160,NA,56.482,35.761,"20.7212036760385",NA,NA,NA,"0","no",NA,"noLamb","0","0"
307,2009,3,"adult",NA,NA,140.5,NA,146,56.482,66.142,49.003,"17.1392662032587",NA,NA,NA,"0","yes","yes","weaned","0","0"
307,2010,4,"prim","TRUE",149,144,"171",150,66.142,65.446,49.385,"16.0605805545611",-1,"20",29.788,"5","yes","yes","weaned","0","0"
307,2011,5,"adult","FALSE",171,148,NA,151,65.446,72.482,54.402,"18.0800640128162",20,NA,23.069,"5","yes","no","neoDeath","0","1"
307,2012,6,"adult","FALSE",NA,150,NA,146,72.482,71.869,58.277,"13.5915818136826",NA,NA,NA,"1","yes","no","notWeaned","0","0"
