"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z"
38,2002,-0.363,"prim","TRUE",23.147,"no","noLamb",NA,NA,NA,"1","0",NA,0.034,1.041,-0.819,-0.796,-1.603,NA,"1",NA
38,2004,0.208,"adult","FALSE",12.883,"yes","weaned","yes",161,19,"0","0",0.245,1.051,-0.028,-0.176,-0.761,-0.341,0.191,"3",NA
38,2005,0.494,"adult","FALSE",11.312,NA,NA,NA,NA,NA,"0","1",0.457,-0.474,-0.384,-0.73,-0.376,0.199,0.572,"3",-0.935
39,2002,-0.649,"prim","TRUE",24.458,"yes","weaned","yes",NA,NA,"1","1",NA,0.034,1.041,-0.944,-0.52,-1.508,NA,"1",NA
39,2003,-0.363,"adult","FALSE",14.551,"yes","weaned","yes",200,54,"0","1",0.74,1.341,0.507,-0.493,-0.302,-0.122,0.246,"5",-0.912
39,2005,0.208,"adult","FALSE",16.46,"yes","weaned","yes",153,19,"0","0",-0.463,-0.474,-0.384,0.202,0.354,0.25,-0.135,"3",0.314
39,2006,0.494,"adult","FALSE",10.089,"yes","weaned","yes",146,-6,"0","1",-0.109,-0.619,-1.097,0.366,-0.047,0.647,0.572,"3",0.094
39,2007,0.78,"adult","FALSE",11.688,"yes","weaned","yes",149,-11,"0","0",-0.604,-1.127,0.507,-0.028,-0.484,0.056,-0.787,"3",-0.513
39,2008,1.066,"adult","FALSE",21.427,"yes","weaned","yes",144,-2,"0","0",-0.392,-0.692,1.219,-0.458,0.497,-0.215,-1.059,"5",0.291
39,2009,1.351,"adult","FALSE",21.873,NA,NA,NA,NA,NA,"0","0",-0.746,-1.781,-0.028,0.507,0.32,-0.43,-0.57,"3",0.39
40,2005,0.208,"prim","TRUE",12.969,"yes","weaned","yes",154,20,"0","0",-0.251,-0.474,-0.384,-0.205,0.055,0.395,0.028,"2",NA
40,2006,0.494,"adult","FALSE",11.625,NA,NA,NA,NA,NA,"0","0",-0.038,-0.619,-1.097,0.072,0.026,0.529,0.626,"5",-0.748
